year,month,fuel,energy_gw
2019,June,HYDRO,3214.07
2019,June,WIND,379.75
2019,June,SOLAR,78.29
2019,June,BIOFUEL,25.61
2019,July,NUCLEAR,8485.53
2019,July,GAS,1546.23
2019,July,HYDRO,2978.11
2019,July,WIND,511.46
2019,July,SOLAR,91.25
2019,July,BIOFUEL,38.88
2019,August,NUCLEAR,8527.92
2019,August,GAS,940.9
2019,August,HYDRO,2509.47
2019,August,WIND,507.27
2019,August,SOLAR,90.26
2019,August,BIOFUEL,38.45
2019,September,NUCLEAR,7726.23
2019,September,GAS,494.25
2019,September,HYDRO,2379.13
2019,September,WIND,695.0
2019,September,SOLAR,71.19
2019,September,BIOFUEL,30.3
2019,October,NUCLEAR,7905.17
2019,October,GAS,303.53
2019,October,HYDRO,2698.93
2019,October,WIND,818.39
2019,October,SOLAR,47.55
2019,October,BIOFUEL,18.0
2019,November,NUCLEAR,7149.68
2019,November,GAS,870.57
2019,November,HYDRO,3001.92
2019,November,WIND,1148.5
2019,November,SOLAR,27.05
2019,November,BIOFUEL,36.06
2019,December,NUCLEAR,8031.27
2019,December,GAS,820.1
2019,December,HYDRO,3041.99
2019,December,WIND,1306.29
2019,December,SOLAR,19.45
2019,December,BIOFUEL,33.98
2020,January,NUCLEAR,8402.95
2020,January,GAS,898.94
2020,January,HYDRO,3251.16
2020,January,WIND,1184.09
2020,January,SOLAR,19.39
2020,January,BIOFUEL,40.62
2020,February,NUCLEAR,6974.06
2020,February,GAS,811.11
2020,February,HYDRO,3164.72
2020,February,WIND,1363.44
2020,February,SOLAR,42.02
2020,February,BIOFUEL,24.74
2020,March,NUCLEAR,7446.67
2020,March,GAS,596.32
2020,March,HYDRO,3190.29
2020,March,WIND,1210.63
2020,March,SOLAR,61.93
2020,March,BIOFUEL,32.86
2020,April,NUCLEAR,7060.64
2020,April,GAS,262.46
2020,April,HYDRO,2993.93
2020,April,WIND,960.62
2020,April,SOLAR,75.59
2020,April,BIOFUEL,27.82
2020,May,NUCLEAR,6987.35
2020,May,GAS,444.12
2020,May,HYDRO,3214.76
2020,May,WIND,876.93
2020,May,SOLAR,89.1
2020,May,BIOFUEL,36.22
2020,June,NUCLEAR,7479.39
2020,June,GAS,872.73
2020,June,HYDRO,3229.94
2020,June,WIND,602.6
2020,June,SOLAR,98.68
2020,June,BIOFUEL,27.53
2020,July,NUCLEAR,8556.51
2020,July,GAS,1825.38
2020,July,HYDRO,3273.62
2020,July,WIND,514.14
2020,July,SOLAR,94.47
2020,July,BIOFUEL,35.37
2020,August,NUCLEAR,7712.93
2020,August,GAS,1416.85
2020,August,HYDRO,2769.44
2020,August,WIND,584.31
2020,August,SOLAR,88.27
2020,August,BIOFUEL,21.56
2020,September,NUCLEAR,6647.53
2020,September,GAS,672.43
2020,September,HYDRO,2628.47
2020,September,WIND,889.53
2020,September,SOLAR,71.89
2020,September,BIOFUEL,30.73
2020,October,NUCLEAR,6954.99
2020,October,GAS,544.77
2020,October,HYDRO,2923.7
2020,October,WIND,897.57
2020,October,SOLAR,50.63
2020,October,BIOFUEL,32.86
2020,November,NUCLEAR,6787.41
2020,November,GAS,420.88
2020,November,HYDRO,3017.09
2020,November,WIND,1281.06
2020,November,SOLAR,37.62
2020,November,BIOFUEL,22.21
2020,December,NUCLEAR,6834.55
2020,December,GAS,960.4
2020,December,HYDRO,3278.12
2020,December,WIND,1392.26
2020,December,SOLAR,19.79
2020,December,BIOFUEL,39.38
2021,January,NUCLEAR,7393.17
2021,January,GAS,936.65
2021,January,HYDRO,3366.27
2021,January,WIND,917.66
2021,January,SOLAR,25.09
2021,January,BIOFUEL,31.78
2021,February,NUCLEAR,6089.42
2021,February,GAS,1283.39
2021,February,HYDRO,3061.57
2021,February,WIND,1192.33
2021,February,SOLAR,46.83
2021,February,BIOFUEL,29.37
2021,March,NUCLEAR,6114.7
2021,March,GAS,616.1
2021,March,HYDRO,3069.34
2021,March,WIND,1526.97
2021,March,SOLAR,71.18
2021,March,BIOFUEL,32.78
2021,April,NUCLEAR,6655.23
2021,April,GAS,188.63
2021,April,HYDRO,2876.26
2021,April,WIND,912.06
2021,April,SOLAR,76.71
2021,April,BIOFUEL,32.95
2021,May,NUCLEAR,7063.83
2021,May,GAS,331.2
